#id sdkAdded compatAdded codepoints
1F63B 19 1 1F63B
1F63C 19 1 1F63C
1F63D 19 1 1F63D
1F63E 19 1 1F63E
1F63F 19 1 1F63F
1F640 19 1 1F640
1F641 23 1 1F641
1F642 23 1 1F642
1F643 23 1 1F643
1F644 23 1 1F644
1F645 19 1 1F645
1F646 19 1 1F646
1F647 19 1 1F647
1F648 19 1 1F648
1F649 19 1 1F649
1F64A 19 1 1F64A
1F64B 19 1 1F64B
1F64C 19 1 1F64C
1F64D 19 1 1F64D
1F64E 19 1 1F64E
1F64F 19 1 1F64F
1F680 19 1 1F680
1F681 19 1 1F681
1F682 19 1 1F682
1F683 19 1 1F683
1F684 19 1 1F684
1F685 19 1 1F685
1F686 19 1 1F686
1F687 19 1 1F687
1F688 19 1 1F688
1F689 19 1 1F689
1F68A 19 1 1F68A
1F68B 19 1 1F68B
1F68C 19 1 1F68C
1F68D 19 1 1F68D
1F68E 19 1 1F68E
1F68F 19 1 1F68F
1F690 19 1 1F690
1F691 19 1 1F691
1F692 19 1 1F692
1F693 19 1 1F693
1F694 19 1 1F694
1F695 19 1 1F695
1F696 19 1 1F696
1F697 19 1 1F697
1F698 19 1 1F698
1F699 19 1 1F699
1F69A 19 1 1F69A
1F69B 19 1 1F69B
1F69C 19 1 1F69C
1F69D 19 1 1F69D
1F69E 19 1 1F69E
1F69F 19 1 1F69F
1F6A0 19 1 1F6A0
1F6A1 19 1 1F6A1
1F6A2 19 1 1F6A2
1F6A3 19 1 1F6A3
1F6A4 19 1 1F6A4
1F6A5 19 1 1F6A5
1F6A6 19 1 1F6A6
1F6A7 19 1 1F6A7
1F6A8 19 1 1F6A8
1F6A9 19 1 1F6A9
1F6AA 19 1 1F6AA
1F6AB 19 1 1F6AB
1F6AC 19 1 1F6AC
1F6AD 19 1 1F6AD
1F6AE 19 1 1F6AE
1F6AF 19 1 1F6AF
1F6B0 19 1 1F6B0
1F6B1 19 1 1F6B1
1F6B2 19 1 1F6B2
1F6B3 19 1 1F6B3
1F6B4 19 1 1F6B4
1F6B5 19 1 1F6B5
1F6B6 19 1 1F6B6
1F6B7 19 1 1F6B7
1F6B8 19 1 1F6B8
1F6B9 19 1 1F6B9
1F6BA 19 1 1F6BA
1F6BB 19 1 1F6BB
1F6BC 19 1 1F6BC
1F6BD 19 1 1F6BD
1F6BE 19 1 1F6BE
1F6BF 19 1 1F6BF
1F6C0 19 1 1F6C0
1F6C1 19 1 1F6C1
1F6C2 19 1 1F6C2
1F6C3 19 1 1F6C3
1F6C4 19 1 1F6C4
1F6C5 19 1 1F6C5
1F6CB 23 1 1F6CB
1F6CC 23 1 1F6CC
1F6CD 23 1 1F6CD
1F6CE 23 1 1F6CE
1F6CF 23 1 1F6CF
1F6D0 23 1 1F6D0
1F6D1 24 1 1F6D1
1F6D2 24 1 1F6D2
1F6D5 29 4 1F6D5
1F6D6 30 6 1F6D6
1F6D7 30 6 1F6D7
1F6DD 31 8 1F6DD
1F6DE 31 8 1F6DE
1F6DF 31 8 1F6DF
1F6E0 23 1 1F6E0
1F6E1 23 1 1F6E1
1F6E2 23 1 1F6E2
1F6E3 23 1 1F6E3
